Date,Temperature,Humidity,Pressure,Wind speed,east,east-northeast,east-southeast,north,north-east,north-northeast,north-northwest,north-west,south,south-east,south-southeast,south-southwest,south-west,west,west-northwest,west-southwest,variable wind direction
2024-11-03 00:00:00,-1.1,105.4,1030.3,0.2,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False
2024-11-03 01:00:00,-2.7,108.0,1030.9,0.9,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,True,False
2024-11-03 02:00:00,-1.0,99.0,1031.7,4.6,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False
2024-11-03 03:00:00,0.4,104.4,1031.4,3.1,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True
2024-11-03 04:00:00,-0.8,106.6,1031.2,3.7,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
2024-11-03 05:00:00,1.3,105.6,1030.6,2.2,False,False,True,False,True,False,False,False,True,True,False,True,True,False,False,True,False
2024-11-03 06:00:00,-0.5,103.8,1030.4,3.5,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,True
2024-11-03 07:00:00,-3.7,111.8,1030.8,1.4,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
2024-11-03 08:00:00,0.5,99.6,1030.4,2.7,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2024-11-03 09:00:00,-1.0,101.4,1029.5,2.2,True,True,True,False,True,False,False,False,False,True,False,True,True,True,False,False,True
2024-11-03 10:00:00,-2.5,110.2,1030.5,1.8,True,False,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False
2024-11-03 11:00:00,-1.0,103.6,1030.8,1.8,True,True,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False
2024-11-03 12:00:00,-1.5,119.5,1031.8,3.1,False,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,True
2024-11-03 13:00:00,-3.5,112.4,1032.0,2.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2024-11-03 14:00:00,-3.0,105.7,1031.6,2.9,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,False,True
2024-11-03 15:00:00,-1.5,106.3,1031.6,1.3,True,False,True,False,False,False,False,True,True,True,False,True,True,True,True,False,True
2024-11-03 16:00:00,-2.5,107.8,1031.9,1.0,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True
2024-11-03 17:00:00,-0.3,105.9,1031.9,0.6,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True
2024-11-03 18:00:00,-0.9,104.7,1031.9,1.6,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True
2024-11-03 19:00:00,-2.2,109.3,1031.5,0.8,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
2024-11-03 20:00:00,1.8,97.6,1032.2,2.8,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
2024-11-03 21:00:00,-1.4,105.4,1032.8,1.9,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
2024-11-03 22:00:00,-1.8,111.9,1032.8,1.9,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False
2024-11-03 23:00:00,-3.5,110.3,1033.3,2.5,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,True
2024-11-04 00:00:00,-1.9,101.6,1032.7,0.9,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True
2024-11-04 01:00:00,-1.7,104.5,1033.2,1.4,True,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,False
2024-11-04 02:00:00,-3.0,103.6,1033.1,1.2,True,False,False,True,True,False,False,True,False,False,True,True,True,False,True,False,False
2024-11-04 03:00:00,-0.8,107.3,1033.1,-0.5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
2024-11-04 04:00:00,-1.6,113.6,1033.5,2.1,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True
2024-11-04 05:00:00,0.3,105.0,1032.9,1.5,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False
2024-11-04 06:00:00,-0.7,106.7,1032.0,1.8,True,True,True,True,True,False,False,True,False,False,False,True,True,True,False,True,True
