Date,Temperature,Humidity,Pressure,Wind speed,east,east-northeast,east-southeast,north,north-east,north-northeast,north-northwest,north-west,south,south-east,south-southeast,south-southwest,south-west,west,west-northwest,west-southwest,variable wind direction
2024-11-03 00:00:00,-1.4,105.6,1033.0,0.1,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
2024-11-03 01:00:00,-2.5,109.7,1033.1,1.0,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True
2024-11-03 02:00:00,-0.2,97.4,1034.2,4.0,True,False,False,False,True,False,False,True,True,True,False,False,True,True,True,False,True
2024-11-03 03:00:00,-0.0,104.3,1033.8,3.4,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True
2024-11-03 04:00:00,-0.7,105.2,1033.7,4.0,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,True
2024-11-03 05:00:00,1.4,103.4,1033.0,2.5,True,False,True,True,False,False,False,True,False,True,True,False,True,False,True,True,True
2024-11-03 06:00:00,-0.2,100.9,1033.0,4.4,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False
2024-11-03 07:00:00,-4.3,112.8,1033.5,1.5,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True
2024-11-03 08:00:00,0.2,105.4,1033.0,3.0,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False
2024-11-03 09:00:00,-0.9,101.0,1032.0,2.7,True,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False
2024-11-03 10:00:00,-2.7,111.9,1033.0,1.9,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True
2024-11-03 11:00:00,-1.2,102.8,1033.6,2.1,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False
2024-11-03 12:00:00,-1.3,118.1,1034.3,4.2,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,False
2024-11-03 13:00:00,-3.1,116.6,1034.4,1.1,False,False,True,True,True,False,False,True,True,False,False,True,False,True,False,True,False
2024-11-03 14:00:00,-2.8,108.7,1034.2,3.5,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False
2024-11-03 15:00:00,-1.8,104.0,1034.5,1.7,False,False,False,True,True,False,False,False,True,True,False,True,True,True,True,False,False
2024-11-03 16:00:00,-2.7,109.3,1034.4,0.9,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False
2024-11-03 17:00:00,-0.5,105.7,1034.5,0.5,True,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True
2024-11-03 18:00:00,-1.1,102.4,1034.5,2.3,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True
2024-11-03 19:00:00,-1.5,107.6,1034.1,1.4,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False
2024-11-03 20:00:00,1.8,93.8,1034.9,3.2,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False
2024-11-03 21:00:00,-1.8,108.3,1035.5,1.7,True,False,True,False,True,False,False,True,True,True,False,True,False,True,False,True,False
2024-11-03 22:00:00,-1.6,111.9,1035.2,2.1,False,True,True,False,True,False,False,False,True,True,True,False,True,False,False,False,True
2024-11-03 23:00:00,-3.2,112.5,1035.9,2.9,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False
2024-11-04 00:00:00,-1.9,99.5,1035.3,0.4,True,True,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True
2024-11-04 01:00:00,-2.2,101.9,1035.7,1.4,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
2024-11-04 02:00:00,-2.6,105.5,1035.7,0.6,True,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,False
2024-11-04 03:00:00,-0.9,111.2,1035.6,-1.1,False,True,True,True,False,False,False,False,True,True,True,False,True,True,True,False,False
2024-11-04 04:00:00,-2.2,111.9,1035.9,2.9,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
2024-11-04 05:00:00,0.7,106.1,1035.5,2.0,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True
2024-11-04 06:00:00,-0.7,104.4,1034.5,1.5,True,True,False,True,False,False,False,True,True,False,True,False,True,False,False,True,True
2024-11-04 07:00:00,0.6,96.4,1034.5,2.0,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,True,True
2024-11-04 08:00:00,-0.4,93.1,1034.7,2.7,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,True
2024-11-04 09:00:00,-2.0,109.8,1033.7,4.3,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False
2024-11-04 10:00:00,-0.5,105.8,1033.7,4.1,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True
2024-11-04 11:00:00,-0.9,94.0,1034.5,5.7,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False
2024-11-04 12:00:00,1.1,99.8,1034.7,4.3,False,True,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False
2024-11-04 13:00:00,-0.9,110.8,1034.0,1.6,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False
2024-11-04 14:00:00,1.7,99.1,1034.0,3.6,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,True,True
2024-11-04 15:00:00,1.0,88.7,1032.8,5.9,False,False,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False
2024-11-04 16:00:00,2.2,82.8,1032.7,3.0,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True
2024-11-04 17:00:00,1.8,93.8,1031.6,5.4,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True
2024-11-04 18:00:00,3.2,100.2,1032.9,0.4,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True
2024-11-04 19:00:00,1.5,94.8,1031.9,1.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
2024-11-04 20:00:00,1.2,90.3,1032.0,1.4,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True
2024-11-04 21:00:00,0.6,95.7,1032.4,1.0,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
2024-11-04 22:00:00,3.3,91.7,1033.0,2.8,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,False
2024-11-04 23:00:00,2.2,91.6,1032.0,0.1,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False
2024-11-05 00:00:00,1.5,95.8,1030.9,4.4,False,True,False,True,True,False,False,False,True,True,True,False,True,True,True,True,True
2024-11-05 01:00:00,1.5,88.9,1031.0,4.3,True,True,True,True,True,False,False,True,True,False,True,False,False,False,True,True,True
2024-11-05 02:00:00,1.9,80.6,1031.0,4.4,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,True
2024-11-05 03:00:00,2.2,83.5,1032.1,1.8,True,True,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True
2024-11-05 04:00:00,2.9,74.5,1031.3,1.5,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2024-11-05 05:00:00,4.0,83.7,1031.0,3.7,False,False,False,True,False,False,False,True,True,True,False,False,True,False,True,True,False
2024-11-05 06:00:00,4.8,76.1,1031.0,3.5,False,True,True,False,False,False,False,True,True,True,True,False,True,False,True,True,True
2024-11-05 07:00:00,2.9,81.1,1031.2,3.5,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,False,True
2024-11-05 08:00:00,3.4,76.4,1031.6,3.6,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False
2024-11-05 09:00:00,5.0,70.1,1030.1,1.5,False,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False
2024-11-05 10:00:00,4.1,77.6,1029.9,4.5,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False
2024-11-05 11:00:00,3.2,81.7,1030.1,3.8,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
2024-11-05 12:00:00,2.2,77.0,1031.3,4.2,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True
2024-11-05 13:00:00,1.8,78.2,1030.3,6.5,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False
2024-11-05 14:00:00,-0.6,81.8,1030.2,6.1,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
2024-11-05 15:00:00,1.4,79.7,1029.2,4.9,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
2024-11-05 16:00:00,0.9,81.0,1028.2,2.2,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
