Date,Temperature,Humidity,Pressure,Wind speed,east,east-northeast,east-southeast,north,north-east,north-northeast,north-northwest,north-west,south,south-east,south-southeast,south-southwest,south-west,west,west-northwest,west-southwest,variable wind direction
2024-11-03 00:00:00,-0.8,106.0,1030.3,0.2,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False
2024-11-03 01:00:00,-2.6,107.0,1030.8,0.9,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,True,False
2024-11-03 02:00:00,-1.0,98.5,1031.7,4.6,True,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False
2024-11-03 03:00:00,0.5,102.4,1031.4,3.1,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True
2024-11-03 04:00:00,-1.0,105.8,1031.3,3.7,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
2024-11-03 05:00:00,1.4,105.0,1030.6,2.2,False,False,True,False,True,False,False,False,True,True,True,True,True,True,False,True,True
2024-11-03 06:00:00,-0.5,104.2,1030.4,3.5,True,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,True
2024-11-03 07:00:00,-3.5,111.2,1030.8,1.4,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True
2024-11-03 08:00:00,0.6,100.0,1030.5,2.7,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True
2024-11-03 09:00:00,-0.8,101.7,1029.5,2.2,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,False,True
2024-11-03 10:00:00,-2.1,110.3,1030.6,1.8,True,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False
2024-11-03 11:00:00,-0.9,103.2,1030.8,1.8,True,False,False,True,True,False,False,True,False,True,True,True,False,True,False,False,False
2024-11-03 12:00:00,-1.4,118.4,1031.8,3.1,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True
2024-11-03 13:00:00,-3.5,112.3,1032.0,2.0,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,True,False
2024-11-03 14:00:00,-3.1,104.2,1031.6,3.0,False,False,False,False,True,False,False,True,True,False,True,False,True,True,True,False,True
2024-11-03 15:00:00,-1.4,103.6,1031.6,1.3,True,True,False,False,False,False,False,True,False,True,True,True,True,False,True,False,True
2024-11-03 16:00:00,-2.5,106.9,1031.9,1.0,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True
2024-11-03 17:00:00,-0.6,107.1,1032.0,0.6,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,True
2024-11-03 18:00:00,-0.7,103.6,1031.9,1.6,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True
2024-11-03 19:00:00,-2.1,109.2,1031.5,0.8,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False
2024-11-03 20:00:00,1.8,97.2,1032.1,2.8,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
2024-11-03 21:00:00,-1.3,105.3,1032.8,1.9,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
2024-11-03 22:00:00,-1.8,109.9,1032.8,1.9,True,False,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False
2024-11-03 23:00:00,-3.6,110.7,1033.2,2.5,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True
2024-11-04 00:00:00,-2.1,102.7,1032.6,0.9,True,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,True
2024-11-04 01:00:00,-1.7,103.8,1033.2,1.4,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
2024-11-04 02:00:00,-3.2,104.4,1033.1,1.2,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False
2024-11-04 03:00:00,-0.9,107.7,1033.1,-0.5,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
2024-11-04 04:00:00,-1.4,112.1,1033.4,2.0,True,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,True
2024-11-04 05:00:00,0.1,103.3,1032.9,1.5,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2024-11-04 06:00:00,-0.4,106.4,1032.0,1.8,True,False,True,True,True,False,False,False,False,False,False,True,True,True,False,True,True
2024-11-04 07:00:00,1.0,99.4,1031.9,2.0,False,False,True,True,False,False,False,False,True,True,True,True,False,False,True,False,False
2024-11-04 08:00:00,-0.4,94.5,1032.2,2.5,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False
2024-11-04 09:00:00,-0.7,110.5,1031.1,3.6,False,True,False,True,False,False,False,True,False,False,True,True,False,True,True,False,False
2024-11-04 10:00:00,-0.4,107.4,1031.0,3.4,True,False,False,True,False,False,False,False,True,True,False,True,True,False,True,False,False
2024-11-04 11:00:00,-0.5,95.3,1032.1,5.4,True,True,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False
2024-11-04 12:00:00,0.6,97.6,1032.3,5.1,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False
2024-11-04 13:00:00,-1.7,107.1,1031.4,1.5,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False
2024-11-04 14:00:00,0.7,96.4,1031.3,3.7,True,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False,False
2024-11-04 15:00:00,1.3,91.6,1030.3,4.5,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False
2024-11-04 16:00:00,2.0,89.3,1030.3,3.2,True,False,False,False,True,False,False,False,True,True,True,True,True,False,True,True,False
2024-11-04 17:00:00,1.5,93.7,1029.2,5.6,True,False,True,False,True,False,False,True,True,False,True,True,True,True,True,False,True
2024-11-04 18:00:00,3.1,94.1,1030.4,0.6,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True
2024-11-04 19:00:00,1.9,94.7,1029.4,1.3,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
2024-11-04 20:00:00,1.1,88.9,1029.4,2.0,True,False,False,False,True,False,False,True,True,True,True,True,True,False,True,False,True
2024-11-04 21:00:00,0.9,92.6,1029.8,0.6,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True
2024-11-04 22:00:00,2.5,92.6,1030.5,3.3,True,True,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False
2024-11-04 23:00:00,2.8,89.5,1029.4,0.3,False,True,False,True,True,False,False,True,False,True,True,True,False,True,True,True,False
2024-11-05 00:00:00,1.5,89.2,1028.6,3.7,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False
2024-11-05 01:00:00,0.9,91.1,1028.4,3.9,False,True,True,True,True,False,False,False,True,False,False,True,True,True,True,True,True
2024-11-05 02:00:00,2.0,81.6,1028.5,3.8,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True
2024-11-05 03:00:00,2.8,86.8,1029.5,1.3,True,True,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False
2024-11-05 04:00:00,4.1,76.6,1028.7,1.4,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2024-11-05 05:00:00,3.5,81.6,1028.6,2.8,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,True
2024-11-05 06:00:00,4.6,77.4,1028.7,3.1,False,False,False,False,True,False,False,True,True,True,True,True,False,True,False,True,True
2024-11-05 07:00:00,2.7,83.5,1028.7,2.6,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-11-05 08:00:00,3.1,81.1,1028.9,3.2,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True
2024-11-05 09:00:00,4.2,71.5,1027.7,1.0,False,False,True,True,True,False,False,False,False,True,True,True,False,True,True,False,False
2024-11-05 10:00:00,4.0,74.4,1027.6,3.6,False,True,False,True,False,False,False,False,True,True,False,True,True,True,False,True,False
2024-11-05 11:00:00,2.2,82.8,1027.9,3.5,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False
2024-11-05 12:00:00,1.6,73.3,1028.5,3.4,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2024-11-05 13:00:00,1.4,76.7,1028.0,6.0,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False
2024-11-05 14:00:00,-0.8,79.6,1027.6,4.9,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True
2024-11-05 15:00:00,1.6,78.7,1026.6,3.8,True,False,True,False,True,False,False,True,False,False,False,False,False,True,True,True,False
2024-11-05 16:00:00,1.0,74.3,1026.0,1.2,True,False,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True
2024-11-05 17:00:00,4.8,68.6,1025.7,4.6,True,False,True,True,False,False,False,True,True,False,False,True,True,False,True,True,False
2024-11-05 18:00:00,4.1,77.3,1024.8,3.8,False,False,True,True,True,False,False,False,False,True,True,False,False,True,False,True,True
2024-11-05 19:00:00,3.0,75.0,1024.8,5.2,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True
2024-11-05 20:00:00,1.9,77.7,1024.8,6.2,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True
2024-11-05 21:00:00,4.1,79.8,1024.9,2.0,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True,False
2024-11-05 22:00:00,1.9,76.3,1024.0,4.9,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2024-11-05 23:00:00,4.8,69.5,1025.1,3.8,True,False,True,False,True,False,False,False,False,True,True,False,True,True,False,False,True
2024-11-06 00:00:00,1.5,84.9,1025.2,3.4,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
2024-11-06 01:00:00,0.2,83.9,1025.0,1.7,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True
2024-11-06 02:00:00,0.0,84.3,1025.9,3.8,True,True,True,False,False,False,False,False,True,True,True,True,False,True,True,False,True
2024-11-06 03:00:00,0.9,67.0,1024.9,5.6,True,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,True
2024-11-06 04:00:00,1.3,74.2,1025.9,3.1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
2024-11-06 05:00:00,1.2,77.3,1026.2,2.9,False,True,False,False,True,False,False,True,True,False,True,True,False,True,True,False,False
2024-11-06 06:00:00,1.0,72.9,1026.0,1.7,True,True,True,False,False,False,False,False,True,False,True,True,True,False,True,False,True
2024-11-06 07:00:00,2.1,61.2,1026.1,5.0,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True
2024-11-06 08:00:00,3.5,68.2,1025.0,5.8,True,False,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True
2024-11-06 09:00:00,4.3,62.7,1025.4,2.4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2024-11-06 10:00:00,8.4,49.6,1024.2,2.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-11-06 11:00:00,8.0,49.2,1024.2,3.0,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False
2024-11-06 12:00:00,6.1,49.0,1024.4,5.5,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,True
2024-11-06 13:00:00,4.8,58.3,1024.4,4.1,True,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False,False
2024-11-06 14:00:00,3.0,60.7,1024.4,5.1,True,False,True,False,False,False,False,True,True,True,False,True,False,True,True,True,False
2024-11-06 15:00:00,2.4,61.6,1023.3,2.9,True,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False
2024-11-06 16:00:00,3.9,48.3,1023.1,3.8,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,True
2024-11-06 17:00:00,1.8,62.7,1023.2,3.2,False,False,True,True,True,False,False,True,False,True,True,True,False,True,True,False,True
2024-11-06 18:00:00,2.2,63.0,1023.5,8.0,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False
2024-11-06 19:00:00,1.9,53.3,1023.4,4.1,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False
2024-11-06 20:00:00,0.9,65.2,1023.4,3.2,True,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True
2024-11-06 21:00:00,0.6,66.3,1023.4,3.7,False,False,False,True,False,False,False,True,True,False,False,True,True,True,False,True,False
2024-11-06 22:00:00,2.2,52.5,1023.2,2.2,True,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False
2024-11-06 23:00:00,2.4,53.0,1023.4,4.4,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True
2024-11-07 00:00:00,5.1,50.0,1023.4,6.8,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True
2024-11-07 01:00:00,4.9,51.5,1023.8,5.1,True,False,True,True,True,False,False,True,False,True,True,True,False,True,True,False,True
2024-11-07 02:00:00,4.9,56.1,1023.8,5.9,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2024-11-07 03:00:00,5.2,47.0,1022.8,4.1,False,False,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True
2024-11-07 04:00:00,4.4,47.5,1022.6,2.7,True,False,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True
2024-11-07 05:00:00,0.9,54.5,1021.2,7.1,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
2024-11-07 06:00:00,0.5,62.9,1021.5,3.8,False,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True
2024-11-07 07:00:00,3.4,52.8,1021.5,3.6,False,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,False
2024-11-07 08:00:00,3.2,54.2,1022.5,1.6,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True
2024-11-07 09:00:00,4.5,42.0,1021.6,4.2,True,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False
2024-11-07 10:00:00,5.1,38.1,1020.6,2.9,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True
2024-11-07 11:00:00,2.4,50.3,1020.5,4.2,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True
2024-11-07 12:00:00,2.8,48.9,1020.6,2.0,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True
2024-11-07 13:00:00,-0.9,52.7,1021.5,2.7,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False
2024-11-07 14:00:00,-4.6,54.7,1021.6,3.2,False,True,False,True,True,True,False,True,True,False,True,False,True,True,False,False,True
2024-11-07 15:00:00,-4.9,63.2,1021.7,5.1,False,False,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False
2024-11-07 16:00:00,-4.8,59.1,1021.6,7.1,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True
2024-11-07 17:00:00,-4.4,68.7,1021.7,4.5,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
2024-11-07 18:00:00,-9.2,76.4,1022.9,6.4,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True
2024-11-07 19:00:00,-6.5,73.4,1023.6,4.8,False,False,False,False,True,False,False,True,True,False,False,True,True,False,True,False,True
2024-11-07 20:00:00,-7.3,64.2,1025.0,4.4,False,False,True,True,False,False,False,False,True,False,False,False,True,True,True,False,False
2024-11-07 21:00:00,-7.8,79.5,1026.0,3.8,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,True
2024-11-07 22:00:00,0.4,53.1,1025.9,6.8,True,True,False,True,True,False,False,False,False,False,False,True,True,False,False,True,True
2024-11-07 23:00:00,1.6,58.2,1026.7,6.4,True,False,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False
2024-11-08 00:00:00,-0.5,53.8,1028.1,7.2,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,True
2024-11-08 01:00:00,1.0,58.3,1029.1,8.5,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,False,True
2024-11-08 02:00:00,0.1,65.8,1029.8,4.4,True,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True
2024-11-08 03:00:00,-6.2,80.9,1031.1,3.6,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True
2024-11-08 04:00:00,-6.4,91.5,1030.8,3.5,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,True
2024-11-08 05:00:00,-5.0,90.1,1030.9,0.6,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False
2024-11-08 06:00:00,0.7,64.4,1031.3,1.7,True,True,False,True,False,False,False,True,True,False,True,True,True,False,False,True,False
2024-11-08 07:00:00,2.4,51.9,1032.3,3.4,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False
2024-11-08 08:00:00,4.0,44.8,1031.9,2.7,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False
2024-11-08 09:00:00,3.3,49.6,1031.9,2.7,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
2024-11-08 10:00:00,1.6,58.2,1031.7,2.5,True,True,False,False,True,False,False,False,False,True,True,True,True,False,False,True,True
2024-11-08 11:00:00,0.7,61.2,1033.0,3.3,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
2024-11-08 12:00:00,0.4,56.0,1034.3,2.6,True,False,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True
2024-11-08 13:00:00,-0.8,59.5,1035.2,2.8,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,True,False
2024-11-08 14:00:00,-6.2,72.5,1035.3,2.4,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True
2024-11-08 15:00:00,-9.6,79.0,1035.2,5.4,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False
2024-11-08 16:00:00,-10.3,74.8,1035.2,1.4,True,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True
2024-11-08 17:00:00,-9.1,81.1,1035.3,3.0,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True
2024-11-08 18:00:00,-12.4,89.7,1035.6,4.3,True,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,False
2024-11-08 19:00:00,-15.8,91.8,1035.3,3.6,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False
2024-11-08 20:00:00,-12.8,80.5,1036.6,1.9,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
2024-11-08 21:00:00,-14.1,85.6,1036.1,0.5,True,False,False,False,True,False,False,True,True,False,True,True,True,False,True,False,False
2024-11-08 22:00:00,-13.8,90.8,1036.6,1.7,True,True,True,False,False,False,True,True,False,True,True,True,False,False,True,True,True
2024-11-08 23:00:00,-14.2,92.0,1036.4,2.9,True,False,True,True,False,False,False,True,False,False,True,True,True,True,False,True,True
2024-11-09 00:00:00,-14.4,91.7,1037.5,4.6,False,False,True,False,False,False,False,True,False,True,True,True,True,True,False,True,True
2024-11-09 01:00:00,-13.9,101.2,1037.5,2.3,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
