Date,Temperature,Humidity,Pressure,Wind speed,east,east-northeast,east-southeast,north,north-east,north-northeast,north-northwest,north-west,south,south-east,south-southeast,south-southwest,south-west,west,west-northwest,west-southwest,variable wind direction
2024-11-03 00:00:00,-1.1,106.1,1031.4,-0.2,True,True,True,True,False,False,False,True,True,False,True,True,False,False,True,False,False
2024-11-03 01:00:00,-2.8,107.2,1031.7,0.9,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,True,False
2024-11-03 02:00:00,-0.7,98.0,1032.6,4.6,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,False,False
2024-11-03 03:00:00,0.6,104.0,1032.4,3.5,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True
2024-11-03 04:00:00,-0.9,105.6,1032.2,4.0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False
2024-11-03 05:00:00,1.2,104.7,1031.6,2.2,True,False,True,False,True,False,False,True,True,True,False,False,True,True,False,True,True
2024-11-03 06:00:00,-0.6,103.9,1031.5,4.3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2024-11-03 07:00:00,-3.8,111.4,1031.8,1.5,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
2024-11-03 08:00:00,0.5,99.8,1031.5,3.5,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True
2024-11-03 09:00:00,-1.0,100.5,1030.4,2.2,True,True,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False
2024-11-03 10:00:00,-2.6,110.9,1031.5,1.9,False,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,False
2024-11-03 11:00:00,-1.2,104.4,1031.8,2.0,True,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False
2024-11-03 12:00:00,-1.5,120.0,1032.8,4.2,False,False,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True
2024-11-03 13:00:00,-4.0,114.2,1032.9,1.4,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,True,False
2024-11-03 14:00:00,-3.1,106.9,1032.6,3.3,True,False,False,True,True,False,False,False,False,True,True,False,True,True,True,True,False
2024-11-03 15:00:00,-1.6,106.8,1032.7,1.3,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False
2024-11-03 16:00:00,-2.9,107.5,1032.8,1.1,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True
2024-11-03 17:00:00,-0.2,107.4,1033.0,0.1,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True
2024-11-03 18:00:00,-1.1,103.5,1032.9,2.1,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True
2024-11-03 19:00:00,-2.2,109.1,1032.6,1.0,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False
2024-11-03 20:00:00,1.6,98.1,1033.3,3.3,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,True
2024-11-03 21:00:00,-1.6,107.7,1033.9,2.4,True,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False
2024-11-03 22:00:00,-1.6,112.8,1033.8,1.5,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True
2024-11-03 23:00:00,-3.8,112.2,1034.4,2.8,False,True,False,True,True,False,True,False,False,False,True,False,False,True,True,False,True
2024-11-04 00:00:00,-1.9,101.7,1033.6,0.6,True,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,False
2024-11-04 01:00:00,-2.2,106.7,1034.2,1.4,False,True,False,False,True,False,False,True,True,True,False,False,False,True,True,False,False
2024-11-04 02:00:00,-3.1,105.9,1034.2,0.9,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False
2024-11-04 03:00:00,-1.0,106.4,1034.1,-0.9,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False
2024-11-04 04:00:00,-1.7,113.9,1034.6,2.6,True,True,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False
2024-11-04 05:00:00,0.2,105.9,1034.0,1.9,True,False,True,False,True,False,False,False,True,False,True,True,True,False,True,False,False
2024-11-04 06:00:00,-0.6,105.1,1033.1,1.5,True,True,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False
2024-11-04 07:00:00,0.8,99.9,1032.9,2.3,False,False,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False
2024-11-04 08:00:00,-0.4,92.1,1033.2,2.7,False,True,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False
2024-11-04 09:00:00,-1.6,109.5,1032.1,4.1,False,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False,False
2024-11-04 10:00:00,-0.5,108.2,1031.9,3.4,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False
2024-11-04 11:00:00,-0.5,94.9,1033.1,5.8,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False
2024-11-04 12:00:00,0.7,98.5,1033.3,4.8,True,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True
2024-11-04 13:00:00,-1.7,107.2,1032.4,1.4,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True
2024-11-04 14:00:00,0.8,98.4,1032.3,3.6,True,True,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False
2024-11-04 15:00:00,1.3,90.5,1031.3,5.4,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True
2024-11-04 16:00:00,2.2,88.5,1031.3,3.2,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False
2024-11-04 17:00:00,1.9,96.5,1030.0,5.8,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True
2024-11-04 18:00:00,3.0,97.0,1031.3,0.6,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False
2024-11-04 19:00:00,1.6,97.0,1030.4,1.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
2024-11-04 20:00:00,1.3,89.1,1030.3,1.8,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True
2024-11-04 21:00:00,0.5,94.1,1030.9,0.9,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,False,True
2024-11-04 22:00:00,2.6,91.2,1031.5,3.2,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,True,True
2024-11-04 23:00:00,2.5,91.3,1030.4,0.5,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,False,False
2024-11-05 00:00:00,1.4,94.0,1029.5,4.3,False,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False
2024-11-05 01:00:00,1.3,90.4,1029.3,3.9,True,True,False,True,False,False,False,True,True,True,False,True,False,False,True,True,False
2024-11-05 02:00:00,1.8,81.2,1029.5,4.3,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False
2024-11-05 03:00:00,2.7,87.2,1030.5,1.2,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False
2024-11-05 04:00:00,3.6,75.3,1029.7,1.3,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
2024-11-05 05:00:00,3.8,79.4,1029.4,3.3,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,True
2024-11-05 06:00:00,4.3,79.1,1029.6,3.7,True,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True
2024-11-05 07:00:00,2.7,81.2,1029.7,3.0,True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False
2024-11-05 08:00:00,2.8,78.7,1030.0,3.0,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True
2024-11-05 09:00:00,4.2,68.7,1028.7,1.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2024-11-05 10:00:00,4.3,76.6,1028.6,4.3,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False
2024-11-05 11:00:00,2.0,82.8,1028.8,3.5,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True
2024-11-05 12:00:00,1.4,74.2,1029.6,4.3,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,True
2024-11-05 13:00:00,1.2,77.2,1029.0,5.8,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False
2024-11-05 14:00:00,-0.9,80.0,1028.7,5.4,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,True,False
2024-11-05 15:00:00,1.3,80.5,1027.6,4.1,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True
2024-11-05 16:00:00,1.0,75.9,1026.8,1.3,True,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True
2024-11-05 17:00:00,5.2,69.0,1026.6,5.1,True,False,True,True,True,False,False,False,False,False,False,True,False,True,False,True,True
2024-11-05 18:00:00,4.4,78.3,1025.7,3.5,False,True,False,True,True,False,False,True,False,False,True,True,True,False,True,True,False
