Date,Temperature,Humidity,Pressure,Wind speed,east,east-northeast,east-southeast,north,north-east,north-northeast,north-northwest,north-west,south,south-east,south-southeast,south-southwest,south-west,west,west-northwest,west-southwest,variable wind direction
2024-11-03 00:00:00,-1.6,103.5,1030.3,0.5,False,True,False,False,True,False,False,True,True,True,True,False,True,True,False,False,True
2024-11-03 01:00:00,-2.6,107.7,1030.7,0.6,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False
2024-11-03 02:00:00,-1.3,101.6,1031.7,4.3,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
2024-11-03 03:00:00,0.3,99.5,1031.5,3.4,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,False,True
2024-11-03 04:00:00,-1.2,104.5,1031.3,3.7,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
2024-11-03 05:00:00,1.0,103.8,1030.6,2.7,False,False,True,True,True,False,False,False,True,False,True,True,False,True,False,False,True
2024-11-03 06:00:00,-0.7,106.2,1030.4,3.1,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False
2024-11-03 07:00:00,-3.1,110.0,1030.7,1.2,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True
2024-11-03 08:00:00,0.5,99.4,1030.5,2.3,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,True
2024-11-03 09:00:00,-0.7,98.3,1029.5,2.7,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True
2024-11-03 10:00:00,-2.3,109.8,1030.6,1.7,False,False,True,True,False,False,False,False,True,True,True,True,True,False,True,False,True
2024-11-03 11:00:00,-1.4,106.6,1030.8,2.0,False,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False
2024-11-03 12:00:00,-1.4,115.9,1031.8,3.0,True,False,False,True,True,False,False,True,False,True,True,False,True,True,False,False,False
2024-11-03 13:00:00,-3.1,111.0,1031.9,1.9,True,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False
2024-11-03 14:00:00,-2.5,104.5,1031.6,2.5,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True
2024-11-03 15:00:00,-1.1,103.0,1031.6,1.3,True,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True
2024-11-03 16:00:00,-2.3,107.0,1031.7,1.4,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False
2024-11-03 17:00:00,-0.8,106.4,1031.9,0.5,True,False,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True
2024-11-03 18:00:00,-0.5,105.1,1031.9,1.4,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2024-11-03 19:00:00,-2.1,108.1,1031.6,1.2,True,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True
2024-11-03 20:00:00,1.3,99.5,1032.1,2.9,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True
2024-11-03 21:00:00,-1.3,105.4,1032.9,1.8,False,True,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True
2024-11-03 22:00:00,-1.6,109.9,1032.8,2.2,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
2024-11-03 23:00:00,-3.6,108.4,1033.2,2.2,False,False,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False
2024-11-04 00:00:00,-1.7,104.9,1032.5,1.0,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,True
2024-11-04 01:00:00,-1.5,102.5,1033.1,1.4,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True
2024-11-04 02:00:00,-3.1,107.8,1033.0,1.4,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2024-11-04 03:00:00,-1.4,106.3,1033.1,-0.1,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True
2024-11-04 04:00:00,-1.2,111.7,1033.2,2.5,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True
2024-11-04 05:00:00,0.1,103.4,1033.0,0.9,True,False,True,False,False,False,False,True,False,True,True,True,False,True,False,True,False
2024-11-04 06:00:00,-1.0,109.2,1032.0,1.9,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False
2024-11-04 07:00:00,0.3,98.4,1032.0,1.8,True,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False
2024-11-04 08:00:00,-0.6,95.5,1032.2,2.2,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False
2024-11-04 09:00:00,-1.2,107.3,1031.2,2.7,False,True,False,True,False,False,False,True,False,False,True,True,True,False,True,False,False
2024-11-04 10:00:00,-0.4,107.4,1031.1,3.1,True,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True
2024-11-04 11:00:00,-0.6,97.6,1032.0,5.0,True,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False
2024-11-04 12:00:00,1.3,99.9,1032.2,5.0,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False
2024-11-04 13:00:00,-1.7,105.9,1031.4,1.5,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
2024-11-04 14:00:00,0.5,97.5,1031.2,3.3,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
2024-11-04 15:00:00,1.1,93.5,1030.4,4.6,True,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False
